market,item_name,product_name,brand,price,product_url
savegnago,alho,alho descascado natari 500g,natari,14.9,https://www.savegnago.com.br/alho-descascado-natari-500g/p
savegnago,alho,alho descascado natari 1kg,natari,27.9,https://www.savegnago.com.br/alho-descascado-natari-1kg/p
savegnago,cenoura,cenoura 1kg,in natura,7.45,https://www.savegnago.com.br/cenoura-kg/p
savegnago,cenoura,cenoura irmãos pimenta bandeja 600g,irmaos pimenta,4.69,https://www.savegnago.com.br/cenoura-irmaos-pimenta-bandeja-450g/p
savegnago,brocolis,brócolis ninja 150g bandeja,in natura,5.95,https://www.savegnago.com.br/brocolis-ninja-150g-bandeja/p
savegnago,abobrinha italiana,abobrinha italiana organica solo vivo 600g,solo vivo,11.45,https://www.savegnago.com.br/abobrinha-italiana-organica-solo-vivo-600g/p
savegnago,batata,batata primeira 1kg,in natura,5.95,https://www.savegnago.com.br/batata-primeira-kg/p
savegnago,batata,batata pirulito 1kg,in natura,5.98,https://www.savegnago.com.br/batata-pirulito-kg/p
savegnago,oleo de soja,óleo de soja liza pet 900ml,liza,6.75,https://www.savegnago.com.br/oleo-soja-liza-900ml-pet/p
savegnago,oleo de soja,óleo de soja soya pet 900ml,soya,7.49,https://www.savegnago.com.br/oleo-soja-soya-900ml-pet/p
savegnago,sal rosa,sal rosa himalaia br spices fino 500g,br spices,12.7,https://www.savegnago.com.br/sal-rosa-himalaia-br-spices-fino-500g/p
savegnago,sal rosa,sal rosa br spices fino 1kg,br spices,21.8,https://www.savegnago.com.br/sal-rosa-br-spices-fino-1kg/p
savegnago,pimenta do reino,pimenta reino kitano 15g moida,kitano,4.95,https://www.savegnago.com.br/pimenta-reino-kitano-15g-moida/p
savegnago,pimenta do reino,pimenta reino a gosto moída 40g,a gosto,7.15,https://www.savegnago.com.br/pimenta-reino-a-gosto-moida-40g/p
savegnago,pimenta do reino,pimenta reino kitano 50g moida preta,kitano,13.2,https://www.savegnago.com.br/pimenta-reino-kitano-50g-moida-preta/p
savegnago,pimenta do reino,pimenta reino siamar 30g grao,siamar,11.98,https://www.savegnago.com.br/pimenta-reino-siamar-30g-grao/p
savegnago,pimenta do reino,pimenta reino veranita 30g moida,veranita,9.79,https://www.savegnago.com.br/pimenta-reino-veranita-30g-moida/p
savegnago,pimenta do reino,pimenta reino siamar 30g moida cominho,siamar,6.48,https://www.savegnago.com.br/pimenta-reino-siamar-30g-moida-cominho/p
savegnago,pimenta do reino,pimenta reino siamar 40g moida,siamar,13.75,https://www.savegnago.com.br/pimenta-reino-siamar-40g-moida/p
savegnago,paprica doce,paprica doce veranita 40g,veranita,3.49,https://www.savegnago.com.br/paprica-doce-veranita-40g/p
savegnago,paprica doce,páprica doce kitano 12g,kitano,3.99,https://www.savegnago.com.br/paprica-doce-yoki-12g/p
savegnago,paprica doce,páprica doce siamar 20g,siamar,5.89,https://www.savegnago.com.br/paprica-doce-siamar/p
savegnago,curry,curry veranita 40g,veranita,3.49,https://www.savegnago.com.br/curry-veranita-40g/p
savegnago,curry,curry kitano 50gr,kitano,8.45,https://www.savegnago.com.br/curry-yoki-50gr/p
covabra,arroz parboilizado,arroz prato fino parboilizado tipo i 1kg,prato fino,6.49,https://www.covabra.com.br/arroz-prato-fino-parboilizado-tipo-i-1kg/p
covabra,arroz parboilizado,arroz prato fino parboilizado tipo i 5kg,prato fino,26.99,https://www.covabra.com.br/arroz-prato-fino-parboilizado-tipo-i-5kg/p
covabra,arroz parboilizado,arroz camil parboilizado tipo 1 com 5kg,camil,22.89,https://www.covabra.com.br/arroz-camil-parboilizado-tipo-1-com-5kg/p
covabra,arroz parboilizado,arroz broto legal parboilizado tipo i 5kg,broto legal,22.79,https://www.covabra.com.br/arroz-broto-legal-parboilizado-tipo-i-5kg/p
covabra,arroz parboilizado,arroz broto legal parboilizado tipo i 2kg,broto legal,10.99,https://www.covabra.com.br/arroz-broto-legal-parboilizado-tipo-i-2kg/p
covabra,feijao carioca,feijão broto legal carioca 1kg,broto legal,10.49,https://www.covabra.com.br/feijao-broto-legal-carioca-1kg/p
covabra,feijao carioca,feijão camil carioca 1kg,camil,7.99,https://www.covabra.com.br/feijao-camil-carioca-1kg/p
covabra,feijao carioca,feijão oliron carioca 1kg,oliron,7.49,https://www.covabra.com.br/feijao-oliron-carioca-1kg/p
covabra,feijao carioca,feijão grão de campo carioca 1kg,gão de campo,6.99,https://www.covabra.com.br/feijao-grao-de-campo-carioca-1kg/p
covabra,feijao carioca,feijão empório são joão carioca 1kg,empório são joão,8.99,https://www.covabra.com.br/feijao-emporio-sao-joao-carioca-1kg/p
covabra,feijao carioca,feijão gaspar carioca 1kg,gaspar,6.89,https://www.covabra.com.br/feijao-gaspar-carioca-1kg/p
covabra,feijao carioca,feijão vapza carioca 500g,vapza,22.9,https://www.covabra.com.br/feijao-vapza-carioca-500g/p
covabra,peito frango,peito frango sem osso sem péle resfriado bandeja 1 unidade 618g,covabra,18.47,https://www.covabra.com.br/peito-frango-sem-osso-sem-pele-resfriado-bandeja-1-unidade-618g/p
covabra,peito frango,peito frango com osso sem pele resfriado bandeja 1 unidade 618g,covabra,15.38,https://www.covabra.com.br/peito-frango-com-osso-sem-pele-resfriado-bandeja-1-unidade-618g/p
covabra,peito frango,peito de frango com osso com pele resfriado bandeja 1 unidade 850g,covabra,20.31,https://www.covabra.com.br/peito-de-frango-com-osso-com-pele-resfriado-bandeja-1-unidade-850g/p
covabra,peito frango,peito frango com osso postas resfriado bandeja 1 unidade 618g,covabra,14.77,https://www.covabra.com.br/peito-frango-com-osso-postas-resfriado-bandeja-1-unidade-618g/p
covabra,peito frango,filé de peito de frango seara congelado 1a1 1kg,seara,25.9,https://www.covabra.com.br/file-de-peito-de-frango-seara-congelado-1a1-1kg/p
covabra,peito frango,filé de peito de frango sadia congelado 1a1 1kg,sadia,17.98,https://www.covabra.com.br/file-de-peito-de-frango-sadia-congelado-1a1-1kg/p
covabra,peito frango,filé de peito de frango fatiado resfriado bandeja 1 unidade 618g,covabra,20.33,https://www.covabra.com.br/file-de-peito-de-frango-fatiado-resfriado-bandeja-1-unidade-618g/p
covabra,peito frango,filé de peito de frango strogonoff resfriado bandeja 1 unidade 515g,covabra,16.94,https://www.covabra.com.br/file-de-peito-de-frango-strogonoff-resfriado-bandeja-1-unidade-515g/p
covabra,peito frango,filé de  peito de  frango perdigão iqf 800g,perdigão,19.98,https://www.covabra.com.br/file-de--peito-de--frango-perdigao-iqf-800g/p
covabra,peito frango,filézinho de  peito de  frango perdigão iqf 800g,perdigão,19.98,https://www.covabra.com.br/filezinho-de--peito-de--frango-perdigao-iqf-800g/p
covabra,peito frango,filé de  peito de  frango sadia bio congelado pacote iqf 1kg,sadia,29.9,https://www.covabra.com.br/file-de--peito-de--frango-sadia-bio-congelado-pacote-iqf-1kg/p
covabra,peito frango,filé de peito de frango seara bandeja 1kg,seara,25.9,https://www.covabra.com.br/file-de-peito-de-frango-seara-bandeja-1kg/p
covabra,peito frango,filé de  peito de  frango korin sem transgênico congelado bandeja 600g,korin,36.9,https://www.covabra.com.br/file-de--peito-de--frango-korin-sem-transgenico-congelado-bandeja-600g/p
covabra,peito frango,filé de  peito de  frango sadia bifes marinados 1a1 1kg,sadia,32.9,https://www.covabra.com.br/file-de--peito-de--frango-sadia-bifes-marinados-1a1-1kg/p
covabra,peito frango,filé de peito de frango seara da granja congelado 1a1 1kg,seara,29.9,https://www.covabra.com.br/file-de-peito-de-frango-seara-da-granja-congelado-1a1-1kg/p
covabra,peito frango,filé de peito de frango korin boa pedida congelado pacote iqf 700g,korin,44.9,https://www.covabra.com.br/file-de-peito-de-frango-korin-boa-pedida-congelado-pacote-iqf-700g/p
covabra,peito frango,filé de peito de frango seara orgânico em tiras congelado 600g,seara,28.9,https://www.covabra.com.br/file-de-peito-de-frango-seara-organico-em-tiras-congelado-600g/p
covabra,peito frango,filé de peito de frango sadia em bifes congelado bandeja 800g,sadia,28.9,https://www.covabra.com.br/file-de-peito-de-frango-sadia-em-bifes-congelado-bandeja-800g/p
covabra,peito frango,filé de peito de frango korin orgânico congelado pacote iqf  700g,sol,49.9,https://www.covabra.com.br/file-de-peito-de-frango-korin-organico-congelado-pacote-iqf--700g/p
covabra,peito frango,filé de peito de frango sadia em bifes congelado pacote iqf 1kg,sadia,34.9,https://www.covabra.com.br/file-de-peito-de-frango-sadia-em-bifes-congelado-pacote-iqf-1kg/p
covabra,carne bovina,acém bovino cubos bandeja 1 unidade 515g,covabra,19.04,https://www.covabra.com.br/acem-bovino-cubos-bandeja-1-unidade-515g/p
covabra,carne bovina,paleta bovina cubos bandeja 1 unidade 515g,covabra,25.69,https://www.covabra.com.br/paleta-bovina-cubos-bandeja-1-unidade-515g/p
covabra,carne bovina,músculo traseiro bovino cubos bandeja 1 unidade 515g,covabra,19.04,https://www.covabra.com.br/musculo-traseiro-bovino-cubos-bandeja-1-unidade-515g/p
covabra,carne bovina,patinho bovino bife extra limpo bandeja 1 unidade 515g,covabra,33.42,https://www.covabra.com.br/patinho-bovino-bife-extra-limpo-bandeja-1-unidade-515g/p
covabra,carne bovina,peito bovino cubos bandeja 1 unidade 515g,covabra,23.63,https://www.covabra.com.br/peito-bovino-cubos-bandeja-1-unidade-515g/p
covabra,carne bovina,patinho bovino strogonoff bandeja 1 unidade 515g,covabra,33.42,https://www.covabra.com.br/patinho-bovino-strogonoff-bandeja-1-unidade-515g/p
covabra,carne bovina,patinho bovino bife bandeja 1 unidade 618g,covabra,37.01,https://www.covabra.com.br/patinho-bovino-bife-bandeja-1-unidade-618g/p
covabra,carne bovina,patinho bovino cubos bandeja 1 unidade 515g,covabra,30.84,https://www.covabra.com.br/patinho-bovino-cubos-bandeja-1-unidade-515g/p
covabra,carne bovina,patinho bovino pedaço bandeja 1 unidade 824g,covabra,49.35,https://www.covabra.com.br/patinho-bovino-pedaco-bandeja-1-unidade-824g/p
covabra,carne bovina,miolo de alcatra bovino cubos bandeja 1 unidade 515g,covabra,37.54,https://www.covabra.com.br/miolo-de-alcatra-bovino-cubos-bandeja-1-unidade-515g/p
covabra,carne bovina,cupim bovino cubos bandeja 1 unidade 618g,covabra,33.92,https://www.covabra.com.br/cupim-bovino-cubos-bandeja-1-unidade-618g/p
covabra,carne bovina,contra filé bovino cubos bandeja 1 unidade 515g,covabra,38.57,https://www.covabra.com.br/contra-file-bovino-cubos-bandeja-1-unidade-515g/p
covabra,carne bovina acem,acém bovino cubos bandeja 1 unidade 515g,covabra,19.04,https://www.covabra.com.br/acem-bovino-cubos-bandeja-1-unidade-515g/p
covabra,carne moida,patinho bovino moído bandeja 1 unidade 515g,covabra,30.84,https://www.covabra.com.br/patinho-bovino-moido-bandeja-1-unidade-515g/p
covabra,linguica toscana,linguiça toscana sadia 1 porção 824g,sadia,19.69,https://www.covabra.com.br/linguica-toscana-sadia-1-porcao-824g/p
covabra,linguica toscana,linguiça toscana perdigão na brasa 1 porção 824g,perdigão,21.34,https://www.covabra.com.br/linguica-toscana-perdigao-na-brasa-1-porcao-824g/p
covabra,linguica toscana,linguiça toscana perdigão na brasa 700g,perdigão,24.9,https://www.covabra.com.br/linguica-toscana-perdigao-na-brasa-700g/p
covabra,linguica toscana,linguiça perdigão na brasa frango 700g,perdigão,18.9,https://www.covabra.com.br/linguica-perdigao-na-brasa-frango-700g/p
covabra,linguica toscana,linguiça toscana perdigão com queijo 600g,perdigão,24.99,https://www.covabra.com.br/linguica-toscana-perdigao-com-queijo-600g/p
